X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"596083049",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,60098071,3,2018/06/23 10:59:15+00,c83abc4f3bbe45cf88eadad8f7614035
-21.878682421516,64.1040402201548,"2301355661",node,37.5,pharmacy,pharmacy,Lyfja,Lyfja,,,,,Mo-Su 08:00-24:00,,,,,yes,yes,,,,,,,,"1",Smáratorg,"201",Kópavogur,154521641,5,2024/07/28 13:39:51+00,e7464b83f50a4e759a00005b5f9ddddd
-21.943148979928,64.0798135863172,"1849130194",node,12.5,dentist,dentist,,Þórólfur Ólafsson,,,,,,,,,,,,,,,,,,,,,,,81272499,3,2020/02/20 12:45:12+00,e6b02845fa78420394b3c58693fe8602
-21.7987882159418,64.1345186641123,"3827235662",node,12.5,dentist,dentist,Tannlæknastofa Auðar Eyjólfsdóttur og Kjartans Gylfasonar,,,,,,,,,,,,,,,,,,,,,,,,81271964,2,2020/02/20 12:31:43+00,49817af9a67349a58f7ad7c13c594930
-23.1279149002501,66.0751369523416,"430860187",node,31.25,hospital,hospital,Sjúkrahúsið og heilsugæslan á Ísafirði,Heilbrigðisstofnun Vestfjarða,,,public,,,,,,,,,yes,,,,,,,,Torfnes,"400",Ísafjörður,138197419,6,2023/07/06 17:14:43+00,ea71286af21845eb92053810489fae0c
-22.5548935496867,64.0011001394431,"3624022958",node,31.25,hospital,hospital,Heilsugæsla Suðurnesja,HSS,,,,,,,,,,,,yes,,,,,,,"6",Skólavegur,"230",Keflavík,74201687,2,2019/09/07 09:48:10+00,44967de240d2450697f86f4cf1c9c8cd
-21.8001721519748,64.1187503764052,"5045514566",node,21.875,clinic,clinic,Heilsugæslan Árbæ,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,,,,,"115",Hraunbær,,,169304396,2,2025/07/22 17:01:16+00,eb2c3f1081574ab69200acdaadf83de0
-21.9567320216587,64.0680639182676,"2066330236",node,34.375,pharmacy,pharmacy,Lyf & heilsa,,,,,,Mo-Fr 09:00-18:00,,,,,yes,yes,,,,,,,,13-15,Fjarðargata,"220",Hafnarfjörður,71946852,3,2019/07/05 22:35:50+00,857028fd6a464a1a8f229116151c4a9e
-21.9077402167047,64.1119477914277,"6240027331",node,31.25,pharmacy,pharmacy,Apótekarinn Hamraborg,,,,,,Mo-Fr 09:00-18:00,,,,,yes,,,,,,,,,"8",Hamraborg,"200",Kópavogur,150271153,2,2024/04/20 16:25:44+00,d6acfac535154fd6a7fc08e2d0c03323
-21.8835959769753,64.1324213443003,"3895976897",node,9.375,doctors,,Fótaaðgerðastofa Reykjavíkur,,,,,,,,,,,,,,,,,,,,,,,,36001124,1,2015/12/17 02:00:58+00,98e71a6fa82e4dbca4c5e42478683491
,,"420562271",way,15.625,hospital,hospital,Sjúkrahúsið á Akureyri,,,,,,,,,,,,,yes,,,,,,,,,,,73257033,4,2019/08/12 07:18:01+00,f76309d1cf2947ccbd262fef0d8e75ba
-21.9527079537642,64.1540729736639,"5517197921",node,21.875,pharmacy,pharmacy,Lyf & heilsa,,,,,,"Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00",,,,,,,,,,,,,,,,"101",Reykjavík,100286174,4,2021/03/02 14:18:37+00,91bec6ba2f0441a2a6a1714c42f93a9a
-21.8589188158422,64.0938104426076,"828000975",node,12.5,doctors,,Heilsugæslan Salahverfi,,,,,,,,,,,,,no,,,,,,,,,,,95962927,4,2020/12/16 20:37:14+00,6ca9d50b4ba44f7cb95f09e2795ddd61
,,"290982361",way,21.875,hospital,hospital,Kleppsspítali,Landspítali,,,,,,,,,,,,,,,,,,,,,"104",Reykjavík,141179900,6,2023/09/12 20:02:43+00,2b2399b37b22434e8483f8bbdf2cd21b
-21.9560826756199,64.0678188314188,"2066330234",node,12.5,doctors,,Heilsugæslan Fjörður,,,,,,,,,,,,yes,,,,,,,,,,,,68434225,3,2019/03/23 04:24:13+00,183b264a9b9240e19b0bec8119215644
-21.9216366577951,64.1399479580739,"1239241390",node,15.625,doctors,doctor,Domus Medica,,,,,,,,,,,,,no,,,,,,,,,,,99677046,2,2021/02/21 12:02:38+00,59da68ca422a4ebc9ebba9958faadaa4
