X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"375289093",way,12.5,clinic,,Olympic Garden Health Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,89785310,4,2020/08/22 15:55:00+00,bbded6de31af48ac91dfcf237de6efc6
-77.6991504655386,18.0530762859689,"3757611369",node,9.375,pharmacy,,The Santa Cruz Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,34229439,1,2015/09/24 16:35:18+00,9249f59229b647b3a3272017270b9627
,,"375258009",way,21.875,doctors,,Doctor's Office,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,"13",Burke Road,,Spanish Town,94838307,4,2020/11/26 12:02:59+00,11caed6d7e7d413b98e6da9b68caa48c
,,"247298062",way,18.75,hospital,hospital,Bustamante Children Hospital,,,,,,,,,,,,,yes,,,,,,,,Authur Wint Drive,,,122518209,8,2022/06/17 17:29:44+00,11eccd5e0f8a4f36ad8d2b1fa5b831d8
-77.5080015827618,18.0458706990868,"2688149109",node,12.5,pharmacy,pharmacy,Fontana Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,130047123,3,2022/12/13 19:00:14+00,21b5211c19e54c1087e88eb61c6b4757
,,"247473410",way,15.625,pharmacy,pharmacy,Pharmacy,,Bing,,,,,,,,,,,,,,,,,,,,,,130047290,4,2022/12/13 19:04:50+00,ae61e85892444015ba4fab9030eb7719
-77.6059662495687,17.9088473693197,"2883935897",node,9.375,dentist,,Dr. Michael Brown,,,,,,,,,,,,,,,,,,,,,,,,27489659,2,2014/12/15 19:29:10+00,94d42786569e4c1bbddb5c02dd869861
,,"373449853",way,12.5,clinic,,May Pen Healthcare Complex,,Updates from driving in Jamaica. KG Ground Survey 2015.,,,,,,,,,,,,,,,,,,,,,,34393665,1,2015/10/02 17:09:38+00,fec82eff931a4c7d9fd33d9ee9b514dd
,,"372372305",way,15.625,hospital,hospital,Mandeville Memorial Hospital,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,130047123,5,2022/12/13 19:00:14+00,fce1940563654fb987494e8b3dd43783
,,"373996625",way,25,pharmacy,pharmacy,York Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,"91",Half Way Tree Road,,Kingston,96274150,3,2020/12/22 17:40:59+00,994e0c3a657d4111ba274db7273279f1
-76.8840424007845,17.9837125168088,"3778638877",node,12.5,dentist,dentist,Dental Care,,,,,,,,,,,,,,,,,,,,,,,,130047189,2,2022/12/13 19:02:11+00,48f17c7f0ffa440bbaf658e303c73e2e
,,"375151271",way,25,clinic,clinic,Medical Associates Hospital,,KG Ground Survey 2015,,,,24/7,,,,,,,,,,,,,,"18",Tangerine Place,,,96274150,6,2020/12/22 17:40:59+00,87eaf1870c7d4c5bb986730e978262ca
,,"371544702",way,12.5,pharmacy,,Best Care Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,62921952,4,2018/09/25 17:44:31+00,47e318bf450a4ca2a45749ee63396648
-76.804878929529,17.9995756876598,"3773492894",node,12.5,clinic,clinic,Heart Trust NTA,,,,,,,,,,,,,,,,,,,,,,,,95113750,2,2020/12/01 19:49:39+00,a58f4fbce11f47b6a86ae5901fca6afc
-77.6081008688499,17.905858298829,"2745664802",node,9.375,pharmacy,,Junction Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,21331035,2,2014/03/26 19:26:15+00,a52843b636164a3f91096cc00be11c0a
,,"892956244",way,21.875,doctors,doctor,Iris Medical Services,,,"general;nephrology;pulmonology;gynaecology",,,,,,,,,,,,,,,,,"68",,,Kingston,142515327,2,2023/10/13 09:56:27+00,ff8fe7f210374a7eb4f4dee4d53e1f49
,,"372852186",way,12.5,clinic,,Spanish Town Dialysis & Medical Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,34532653,2,2015/10/09 15:51:51+00,cc328b41123f4149a18793fedc0026f2
-77.0317635535719,18.134985584885,"3777357283",node,28.125,clinic,clinic,SRK Medical Centre,,KG Ground Survey 2015,,,,09:00-19:00,,,,,,,,,,,,,,#12,King Street,,Linstead,127276143,2,2022/10/10 03:09:03+00,ce478199d9c342aea2cdcc377fbd0b40
,,"243008393",way,9.375,hospital,,Harkers Hall Health Center,,,,,,,,,,,,,,,,,,,,,,,,94883594,2,2020/11/27 08:59:43+00,08b764717c1c4badaf04af66c91d6fc1
-76.4551488811179,18.1783701480731,"11997632790",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,152963206,1,2024/06/20 19:30:16+00,c87e1ed788304f79aed4d9f7a1edead5
,,"374580333",way,18.75,pharmacy,,Victory Drug Store,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Cumberland Road,,Spanish Town,34594902,2,2015/10/12 17:03:50+00,c22ab9163ffd44b39d0c500c0dae4b02
,,"370655367",way,12.5,pharmacy,,Nu Millennium Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:06:41+00,72c7a6630c7748f7b05fbabbc95153da
-77.9242294599999,18.4543586431155,"7446966543",node,25,pharmacy,pharmacy,St. James Pharmacy,,,,,,24/7,,,,,yes,yes,,,,,,,,,,,Montego Bay,84118973,2,2020/04/25 19:23:29+00,427f998894484863b2af5735d8b7e177
-77.6074679513412,17.9067514744312,"6312185412",node,12.5,doctors,doctor,,Dr. Andrew Holness,,,,,,,,,,,,,,,,,,,,,,,67707561,1,2019/03/02 07:48:54+00,d7389a3abfaf4d76a9ad5feaeaf1a772
-77.1663671117118,18.4257440829666,"5158019860",node,12.5,doctors,doctor,Lifeline Medical Center,,,,,,,,,,,,,,,,,,,,,,,,52775013,1,2017/10/09 23:24:26+00,09659bb7af7f4e9ca8007d3a65ea1d96
,,"374982887",way,18.75,clinic,clinic,Oxford Medical Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,Kingston,96221911,2,2020/12/22 00:35:13+00,8cd2631576ae48bd92388322da3728e1
-76.7755835073853,17.9698689655274,"12539931951",node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,161873355,1,2025/01/28 20:51:47+00,7ebf98bbe16b4c73a9986b90f647f5f3
-76.9562962501589,17.9952695687234,"3786354023",node,18.75,pharmacy,,VR Pharmacy & Beauty Supplies,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Young Street,,Spanish Town,37034644,3,2016/02/06 04:23:46+00,d6207fa6ecaf4880b2a3de357f3adff2
,,"373937101",way,9.375,doctors,,Physician and Surgeon,,,,,,,,,,,,,,,,,,,,,,,,34453004,1,2015/10/05 17:52:50+00,c9301b89edd54f05ab5b16ab206bcf52
-77.6092625168107,17.9062415194421,"3832145870",node,9.375,doctors,,Dr. Carol Hamilton,,,,,,,,,,,,,,,,,,,,,,,,35254813,1,2015/11/12 06:40:57+00,bcc0996426664f73ad650df5a8eb9be6
,,"371443854",way,12.5,doctors,,Doctor's Office,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 03:59:03+00,085c24fac8844856a9b65e2c7a21a29f
-77.0316836740347,18.1351060328336,"3777253340",node,15.625,dentist,dentist,Dental Care,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,127276143,2,2022/10/10 03:09:03+00,203db61cfeff4558960bbe03dd9f1905
